poin Momota;poin Axelsen;Nama;rally;type;Banyak pukulan
;;Momota;28;Dropshot(M);32
;;Axelsen;28;Netting(A);33
;;Momota;28;Lob(M);34
;;Axelsen;28;Lob(A);35
;;Momota;28;Lob(M);36
;;Axelsen;28;Lob(A);37
;;Momota;28;Smash(M);38
;;Axelsen;28;Netting(A);39
;;Momota;28;Lob(M);40
13;15;Axelsen;28;Lob(A);41
;;Momota;29;Lob(M);1
;;Axelsen;29;Lob(A);2
;;Momota;29;Lob(M);3
13;16;Axelsen;29;Dropshot(A);4
13;17;Axelsen;30;Drive(A);1
;;Momota;31;Dropshot(M);1
;;Axelsen;31;Drive(A);2
;;Momota;31;Lob(M);3
;;Axelsen;31;Lob(A);4
;;Momota;31;Smash(M);5
;;Axelsen;31;Drive(A);6
;;Momota;31;Lob(M);7
;;Axelsen;31;Dropshot(A);8
;;Momota;31;Netting(M);9
;;Axelsen;31;Lob(A);10
;;Momota;31;Lob(M);11
;;Axelsen;31;Lob(A);12
;;Momota;31;Smash(M);13
;;Axelsen;31;Drive(A);14
;;Momota;31;Lob(M);15
;;Axelsen;31;Dropshot(A);16
;;Momota;31;Lob(M);17
;;Axelsen;31;Lob(A);18
14;17;Momota;31;Lob(M);19
;;Axelsen;32;Netting(A);1
;;Momota;32;Lob(M);2
;;Axelsen;32;Smash(A);3
;;Momota;32;Netting(M);4
;;Axelsen;32;Lob(A);5
;;Momota;32;Smash(M);6
;;Axelsen;32;Lob(A);7
15;17;Momota;32;Smash(M);8
;;Axelsen;33;Lob(A);1
;;Momota;33;Dropshot(M);2
;;Axelsen;33;Lob(A);3
;;Momota;33;Dropshot(M);4
;;Axelsen;33;Lob(A);5
;;Momota;33;Lob(M);6
;;Axelsen;33;Smash(A);7
;;Momota;33;Drive(M);8
;;Axelsen;33;Netting(A);9
16;17;Momota;33;Lob(M);10
;;Axelsen;34;Lob(A);1
;;Momota;34;Smash(M);2
;;Axelsen;34;Lob(A);3
17;17;Momota;34;Netting(M);4
;;Axelsen;35;Lob(A);1
;;Momota;35;Smash(M);2
;;Axelsen;35;Netting(A);3
;;Momota;35;Netting(M);4
;;Axelsen;35;Netting(A);5
;;Momota;35;Lob(M);6
;;Axelsen;35;Dropshot(A);7
;;Momota;35;Drive(M);8
;;Axelsen;35;Drive(A);9
;;Momota;35;Drive(M);10
;;Axelsen;35;Lob(A);11
;;Momota;35;Lob(M);12
;;Axelsen;35;Dropshot(A);13
;;Momota;35;Netting(M);14
;;Axelsen;35;Netting(A);15
;;Momota;35;Lob(M);16
;;Axelsen;35;Lob(A);17
;;Momota;35;Dropshot(M);18
;;Axelsen;35;Drive(A);19
;;Momota;35;Lob(M);20
;;Axelsen;35;Dropshot(A);21
;;Momota;35;Netting(M);22
;;Axelsen;35;Lob(A);23
;;Momota;35;Dropshot(M);24
;;Axelsen;35;Netting(A);25
;;Momota;35;Lob(M);26
;;Axelsen;35;Lob(A);27
;;Momota;35;Lob(M);28
;;Axelsen;35;Dropshot(A);29
;;Momota;35;Netting(M);30
;;Axelsen;35;Netting(A);31
;;Momota;35;Lob(M);32
;;Axelsen;35;Dropshot(A);33
;;Momota;35;Netting(M);34
;;Axelsen;35;Lob(A);35
;;Momota;35;Lob(M);36
;;Axelsen;35;Lob(A);37
;;Momota;35;Dropshot(M);38
;;Axelsen;35;Lob(A);39
;;Momota;35;Lob(M);40
;;Axelsen;35;Lob(A);41
;;Momota;35;Dropshot(M);42
;;Axelsen;35;Netting(A);43
18;17;Momota;35;Lob(M);44
;;Axelsen;36;Lob(A);1
;;Momota;36;Lob(M);2
;;Axelsen;36;Lob(A);3
;;Momota;36;Dropshot(M);4
;;Axelsen;36;Drive(A);5
;;Momota;36;Netting(M);6
;;Axelsen;36;Lob(A);7
;;Momota;36;Dropshot(M);8
;;Axelsen;36;Netting(A);9
;;Momota;36;Lob(M);10
;;Axelsen;36;Lob(A);11
;;Momota;36;Dropshot(M);12
;;Axelsen;36;Lob(A);13
;;Momota;36;Dropshot(M);14
;;Axelsen;36;Netting(A);15
19;17;Momota;36;Lob(M);16
;;Axelsen;37;Netting(A);1
;;Momota;37;Lob(M);2
;;Axelsen;37;Smash(A);3
;;Momota;37;Netting(M);4
;;Axelsen;37;Lob(A);5
;;Momota;37;Smash(M);6
;;Axelsen;37;Netting(A);7
;;Momota;37;Lob(M);8
;;Axelsen;37;Dropshot(A);9
;;Momota;37;Lob(M);10
;;Axelsen;37;Drive(A);11
;;Momota;37;Dropshot(M);12
;;Axelsen;37;Netting(A);13
;;Momota;37;Lob(M);14
19;18;Axelsen;37;Lob(A);15
20;18;Momota;38;Lob(M);1
;;Axelsen;39;Netting(A);1
;;Momota;39;Lob(M);2
;;Axelsen;39;Dropshot(A);3
;;Momota;39;Netting(M);4
;;Axelsen;39;Netting(A);5
;;Momota;39;Lob(M);6
;;Axelsen;39;Dropshot(A);7
;;Momota;39;Netting(M);8
;;Axelsen;39;Lob(A);9
;;Momota;39;Smash(M);10
;;Axelsen;39;Dropshot(A);11
;;Momota;39;Netting(M);12
;;Axelsen;39;Netting(A);13
;;Momota;39;Lob(M);14
;;Axelsen;39;Smash(A);15
;;Momota;39;Drive(M);16
;;Axelsen;39;Lob(A);17
;;Momota;39;Lob(M);18
;;Axelsen;39;Smash(A);19
;;Momota;39;Netting(M);20
;;Axelsen;39;Lob(A);21
;;Momota;39;Lob(M);22
;;Axelsen;39;Lob(A);23
;;Momota;39;Dropshot(M);24
;;Axelsen;39;Lob(A);25
;;Momota;39;Lob(M);26
;;Axelsen;39;Dropshot(A);27
;;Momota;39;Lob(M);28
;;Axelsen;39;Dropshot(A);29
;;Momota;39;Lob(M);30
;;Axelsen;39;Smash(A);31
;;Momota;39;Netting(M);32
;;Axelsen;39;Netting(A);33
;;Momota;39;Lob(M);34
;;Axelsen;39;Lob(A);35
;;Momota;39;Lob(M);36
;;Axelsen;39;Lob(A);37
;;Momota;39;Lob(M);38
;;Axelsen;39;Lob(A);39
21;18;Momota;39;Lob(M);40
;;Axelsen;1;Lob(A);1
;;Momota;1;Dropshot(M);2
;;Axelsen;1;Lob(A);3
;;Momota;1;Smash(M);4
;;Axelsen;1;Drive(A);5
;;Momota;1;Netting(M);6
;;Axelsen;1;Lob(A);7
;;Momota;1;Smash(M);8
;;Axelsen;1;Netting(A);9
;;Momota;1;Netting(M);10
;;Axelsen;1;Netting(A);11
1;0;Momota;1;Netting(M);12
;;Axelsen;2;Netting(A);1
;;Momota;2;Lob(M);2
;;Axelsen;2;Smash(A);3
;;Momota;2;Netting(M);4
;;Axelsen;2;Lob(A);5
2;0;Momota;2;Smash(M);6
;;Axelsen;3;Lob(A);1
;;Momota;3;Lob(M);2
;;Axelsen;3;Lob(A);3
;;Momota;3;Smash(M);4
;;Axelsen;3;Netting(A);5
;;Momota;3;Lob(M);6
;;Axelsen;3;Smash(A);7
;;Momota;3;Lob(M);8
